U_In-5p,U_As-4p,a(A),Eg(eV),meff
1.25,2.45,6.035173139483869,0.4132973130980034,0.026038464086714515
1.3,2.45,6.033301332066559,0.41951847002742276,0.026429043519315278
1.35,2.45,6.031330526410457,0.4260105934179545,0.02683592264501402
1.35,2.4,6.03303251759071,0.4098221695406211,0.02591224506057106
1.4,2.4,6.031046770949769,0.4163586645878161,0.026323518010005327
1.45,2.4,6.02905356303848,0.4229174802232438,0.026736356610543587
1.45,2.35,6.03074392140999,0.4067873197668828,0.025812486496692745
1.5,2.35,6.028739717559628,0.4133817065194663,0.026228992299487008
1.55,2.35,6.026724057150235,0.42001321392916274,0.026647964307050548
1.6,2.35,6.024711290045261,0.4266439134976177,0.027067157875285134
1.6,2.3,6.02638640644978,0.41057709745606813,0.026144843266794175
1.65,2.3,6.024356831840974,0.41725773616871004,0.026568787026854435
1.7,2.3,6.022321883604956,0.4239593311787648,0.026994209852208857
1.7,2.25,6.023992820296102,0.40792921932829085,0.026070391018226134
1.75,2.25,6.021777819896644,0.4151111995657489,0.026526271466382204
1.8,2.25,6.019732999585054,0.42185121205405063,0.026956121020942914
1.8,2.2,6.02144060788444,0.40574997517182315,0.026024372722766188
1.85,2.2,6.0193975224774805,0.41249197054129433,0.026456067933810935
1.9,2.2,6.017353589047122,0.4192422977699861,0.026888694445727303
1.95,2.2,6.015303917652622,0.42601354820822257,0.027322941278519024
1.95,2.15,6.017002808892432,0.40995941066779196,0.02639175123241988
2.0,2.15,6.014945095196604,0.41676008378198354,0.026829482610207917
2.05,2.15,6.012854492222098,0.42365332284028767,0.027273153213790473
2.05,2.1,6.014612437215207,0.4074684888628163,0.026330283664404566
2.1,2.1,6.012519054949664,0.41437368866216207,0.026776639108014613
2.15,2.1,6.0104337267206,0.42126179515865286,0.027222543080203263
2.2,2.1,6.008361113768261,0.42813208031691763,0.0276671954341018
2.2,2.05,6.010077886919137,0.41207963277786314,0.02672985272928919
2.25,2.05,6.007985589698831,0.41900727272138927,0.027179993945391247
2.3,2.05,6.005879167589009,0.42597097261451444,0.027633056966532035
2.3,2.0,6.0075882024574625,0.40996806224690174,0.026694772063451853
2.35,2.0,6.005473755867477,0.4169601962209438,0.0271514398107928
2.4,2.0,6.003352532693523,0.4239751547641898,0.0276101697088729
2.4,1.95,6.005041444864125,0.40804832612633785,0.026672864319884047
2.45,1.95,6.002930189799736,0.41504267397742767,0.027132201333933126
2.5,1.95,6.000877571097868,0.4218867380986161,0.027583064729658945
2.5,1.9,6.002575105188462,0.4059635279592338,0.02664193754633915
2.55,1.9,6.000442778334585,0.41302180762846297,0.02710800290561773
2.6,1.9,5.998320925634727,0.4200614443526499,0.027573162053494523
2.65,1.9,5.996196193737406,0.427114072681079,0.028039692480254088
2.65,1.85,5.99785737543799,0.41131252077540853,0.02710363904181377
2.7,1.85,5.995724419300512,0.4183931059294757,0.027573914644691718
2.75,1.85,5.993614651447237,0.42541853529108165,0.028041307754331994
2.75,1.8,5.995268809539366,0.40965971909103793,0.027104176863503318
2.8,1.8,5.993147292412891,0.4167230891997666,0.027575870879920295
2.85,1.8,5.991032514198082,0.42377299467320534,0.028047521111243777
2.85,1.75,5.992678922013456,0.4080604059855708,0.027109292574359768
2.9,1.75,5.990556101232571,0.41513869472549975,0.027584647914271218
2.95,1.75,5.988416863919722,0.42226525210018284,0.028063712444236836
2.95,1.7,5.990070626263709,0.4065613655800528,0.027121817815577567
3.0,1.7,5.987925945711619,0.4137054668667644,0.027604290911088146
3.05,1.7,5.98577875785534,0.4208650157645161,0.028088040710243026
3.1,1.7,5.983633119104404,0.42802995161584717,0.028572476400106003
3.1,1.65,5.985277198354861,0.4123791111874866,0.027631350846390325
3.15,1.65,5.983125645998833,0.41956118580050705,0.0281193201469202
3.2,1.65,5.980974272166289,0.42675061048770985,0.02860827070808655
3.2,1.6,5.982612912284711,0.41114134026131044,0.027665718714459386
3.25,1.6,5.98045503937931,0.4183502275713717,0.028158408746639784
3.3,1.6,5.9783076713902465,0.42554295152274396,0.02865420632718829
3.3,1.55,5.979941495799257,0.4099723694084246,0.027706052295392806
3.35,1.55,5.977778365488362,0.41721116655937157,0.028203139482638816
3.4,1.55,5.975614926151026,0.42445518196292126,0.02870134190799259
3.4,1.5,5.977245102836116,0.40892279376455903,0.027755387493816206
3.45,1.5,5.9750779914044525,0.4161833942420205,0.02825669528578567
3.5,1.5,5.9727610735938965,0.4238413408528063,0.028784356042221973
3.5,1.45,5.974390697756285,0.4083342935151472,0.027836302921300172
3.55,1.45,5.972219107002183,0.41561797586035765,0.028342144978225296
3.6,1.45,5.970046814624187,0.4229098404836166,0.028849380844665467
3.6,1.4,5.9716727450323015,0.40744098451831984,0.0278993424527602
3.65,1.4,5.9694945622656235,0.4147540912187137,0.02841017730165869
3.7,1.4,5.967321281932537,0.42205724941905653,0.02892114318336222
3.7,1.35,5.968939277063257,0.406638676389397,0.027970083259193094
3.75,1.35,5.966760022068265,0.41396659014663034,0.028484757396464073
3.8,1.35,5.964685488239681,0.4210216394596676,0.028983067403780302
3.85,1.35,5.962510199702781,0.4283474028024642,0.029500026519373553
3.85,1.3,5.964119970925286,0.41297953881621624,0.02854878869238761
3.9,1.3,5.9619398305051465,0.4203233749649679,0.02906933672209243
3.95,1.3,5.959763201822077,0.4276626049579269,0.029590209544505117
3.95,1.25,5.961368949027704,0.4123360024831722,0.02863739254007974
4.0,1.25,5.959187159929219,0.4196934198487467,0.029161864638276126
4.05,1.25,5.956907371373803,0.42731506117122897,0.02970444274925108
4.05,1.2,5.958509075447111,0.4120241733770165,0.028749977444531165
