U_In-5p,U_Sb-5p,Eg(eV)
-3.47,4.06,0.23322783038519268
-3.46,4.06,0.23434136112414516
-3.45,4.06,0.23545596916404565
-3.44,4.06,0.2365705772063207
-3.44,4.05,0.23331779238523342
-3.43,4.05,0.23443240042142932
-3.42,4.05,0.23554700845762522
-3.41,4.05,0.2366631359064768
-3.41,4.04,0.23341264736766965
-3.4,4.04,0.23452956188832896
-3.39,4.04,0.2356464764110937
-3.38,4.04,0.2367633909228688
-3.38,4.03,0.23351290238943112
-3.37,4.03,0.23463609502882732
-3.36,4.03,0.23575463926969276
-3.35,4.03,0.23687318350884623
-3.35,4.02,0.23362810659533806
-3.34,4.02,0.23474928643588666
-3.33,4.02,0.23587485718592305
-3.32,4.02,0.23700042793703546
-3.32,4.01,0.2337459707084406
-3.31,4.01,0.23487605216841478
-3.3,4.01,0.23600273153489248
-3.29,4.01,0.23712941089883444
-3.29,4.0,0.23388324149412387
-3.28,4.0,0.2350099208600056
-3.27,4.0,0.23613660022588756
-3.27,3.99,0.2328887165898197
-3.26,3.99,0.23401716542522455
-3.25,3.99,0.23514561426156355
-3.24,3.99,0.23627406309108556
-3.24,3.98,0.23302965829291522
-3.23,3.98,0.2341581071230585
-3.22,3.98,0.23530991488989872
-3.21,3.98,0.23644352800772506
-3.21,3.97,0.23320337418706183
-3.2,3.97,0.2343369873379375
-3.19,3.97,0.23547547178276673
-3.18,3.97,0.23662156935658296
-3.18,3.96,0.23336474616143232
-3.17,3.96,0.23451084371245523
-3.16,3.96,0.23564488241693882
-3.15,3.96,0.23679482362755522
-3.15,3.95,0.23353948965258442
-3.14,3.95,0.2346894308543619
-3.13,3.95,0.23583937205002692
-3.12,3.95,0.2369893132606975
-3.12,3.94,0.23374695843287374
-3.11,3.94,0.23490168021052193
-3.1,3.94,0.2360564019852942
-3.1,3.93,0.23280581335127315
-3.09,3.93,0.2339605351257492
-3.08,3.93,0.23511525687537804
-3.07,3.93,0.23628743542867348
-3.07,3.92,0.23304023578931177
-3.06,3.92,0.23419883572312616
-3.05,3.92,0.23533489232422244
-3.04,3.92,0.23650289631087573
-3.04,3.91,0.23324415363546325
-3.03,3.91,0.23441215762602385
-3.02,3.91,0.2355801616026123
-3.01,3.91,0.23675700251819465
-3.01,3.9,0.23349535861297643
-3.0,3.9,0.2346705527063111
-2.99,3.9,0.23584574680011228
-2.98,3.9,0.23702094089419345
-2.98,3.89,0.23375929699455344
-2.97,3.89,0.23493449109082953
-2.96,3.89,0.2361147655150979
-2.96,3.88,0.23285155676919134
-2.95,3.88,0.23403211170729965
-2.94,3.88,0.23521266664652618
-2.93,3.88,0.23639322159358755
-2.93,3.87,0.2331384608472038
-2.92,3.87,0.23432196934458926
-2.91,3.87,0.23550547784334608
-2.9,3.87,0.23668786389957752
-2.9,3.86,0.2334343963118739
-2.89,3.86,0.23461839957103003
-2.88,3.86,0.2358024028053951
-2.87,3.86,0.23698640606885513
-2.87,3.85,0.23373107690667605
-2.86,3.85,0.23491954973433948
-2.85,3.85,0.23610802255962082
-2.85,3.84,0.232859003231074
-2.84,3.84,0.23404747605921128
-2.83,3.84,0.23523594888412047
-2.82,3.84,0.23642442171064038
-2.82,3.83,0.23317160495452005
-2.81,3.83,0.2343598809417642
-2.8,3.83,0.23554815693080688
-2.79,3.83,0.2367364329185957
-2.79,3.82,0.2335048526535679
-2.78,3.82,0.23469787456093627
-2.77,3.82,0.235890896469785
-2.76,3.82,0.23708391838198417
-2.76,3.81,0.23383435239474704
-2.75,3.81,0.23502953307527297
-2.74,3.81,0.23622471375723397
-2.74,3.8,0.23298277623414554
