U_Ga-4p,U_Sb-5p,a(A),Eg(eV),meff
2.25,1.95,6.0137967315942875,0.8175436566749411,0.1435038767295651
2.25,1.9,6.015479302614131,0.8033810898561468,0.14256596948214176
2.3,1.9,6.012987249742955,0.8151578018906898,0.14355559005340032
2.3,1.85,6.014670572394526,0.801015605471577,0.14261796483280983
2.35,1.85,6.012169467608339,0.8128413415428459,0.1436145285265188
2.4,1.85,6.009675321871684,0.8246608850610612,0.14462106051041915
2.4,1.8,6.011345289994926,0.8105879714921282,0.14368026668669953
2.45,1.8,6.00885389462005,0.8224090166811913,0.1446904428255546
2.45,1.75,6.010523788433856,0.808362724231588,0.14374987528704097
2.5,1.75,6.0080276994726995,0.8202151788508613,0.14476587948119313
2.5,1.7,6.009698612368171,0.8061850967427868,0.14382517572769812
2.55,1.7,6.007197803855038,0.8180742446904007,0.14484745665322243
2.55,1.65,6.008870390346597,0.804053676953783,0.14390636533189005
2.6,1.65,6.006115614988306,0.8169121256263158,0.14501350502444746
2.6,1.6,6.007764662828782,0.8030004059875162,0.14407926659809647
2.65,1.6,6.005282686735141,0.8148549497878116,0.145105778954486
2.65,1.55,6.006928636683171,0.8009753662431836,0.1441726357598462
2.7,1.55,6.004454019389845,0.8128218241494153,0.1452018537396953
2.75,1.55,6.00208526796673,0.8242905152586579,0.14620993820361106
2.75,1.5,6.003642092984166,0.8107621736798505,0.14529742972837054
2.8,1.5,6.001254646180139,0.8223196584039816,0.1463164355999801
2.8,1.45,6.002920178668263,0.8084091041179708,0.14536951212606006
2.85,1.45,6.000432927661377,0.8203596001443177,0.1464255948072517
2.85,1.4,6.002109707143376,0.8064255514723961,0.1454748636917724
2.9,1.4,5.999545001238806,0.8186844346727721,0.14656135483404562
2.9,1.35,6.00119887490561,0.8048597507168274,0.14561774855215193
2.95,1.35,5.998724283611382,0.816795000248851,0.1466804607026508
2.95,1.3,6.000374918269918,0.8030087137002805,0.14573813229931204
3.0,1.3,5.9979012309230315,0.8149581040387851,0.146805828266095
3.0,1.25,5.999549072484194,0.8012016602051673,0.14586427674659477
3.05,1.25,5.997073493744701,0.8131775932850802,0.1469382005094093
3.05,1.2,5.998720154883677,0.7994499781869318,0.14599701360743833
3.1,1.2,5.996159413079149,0.811761358977446,0.1471043852707709
3.15,1.2,5.993781084714506,0.8234072878463874,0.14816598435914802
3.15,1.15,5.995332351600414,0.8100592327941828,0.14724762743163963
3.2,1.15,5.992954084324227,0.8217194254344569,0.14831467393193531
