U_Ga-4p,U_As-4p,Eg(eV)
-6.01,6.7,1.5191980395321103
-6.0,6.7,1.5203580340124736
-6.0,6.69,1.5169649899280722
-5.99,6.69,1.5181249844141336
-5.98,6.69,1.51928497888817
-5.97,6.69,1.5204449733682257
-5.97,6.68,1.5170532479750933
-5.96,6.68,1.5182138576850217
-5.95,6.68,1.5193744673949503
-5.94,6.68,1.5205350771048791
-5.94,6.67,1.5171586152824357
-5.93,6.67,1.5183218930555982
-5.92,6.67,1.5194851708253108
-5.91,6.67,1.5206484486036858
-5.91,6.66,1.517257157077744
-5.9,6.66,1.518422430150653
-5.89,6.66,1.519587703223562
-5.88,6.66,1.5207529763066048
-5.88,6.65,1.5173681413909639
-5.87,6.65,1.5185334144655722
-5.86,6.65,1.5197022836021743
-5.85,6.65,1.520870083071202
-5.85,6.64,1.5174877698925684
-5.84,6.64,1.518655569314892
-5.83,6.64,1.5198233688104132
-5.82,6.64,1.520991168276183
-5.82,6.63,1.5176202628766202
-5.81,6.63,1.5187905412490497
-5.8,6.63,1.519960819634642
-5.79,6.63,1.5211310980150257
-5.79,6.62,1.5177539769073873
-5.78,6.62,1.5189319287435818
-5.77,6.62,1.5201098804464008
-5.77,6.61,1.516720795077442
-5.76,6.61,1.5178961355069012
-5.75,6.61,1.5190762654398209
-5.74,6.61,1.5202563953727402
-5.74,6.6,1.5168717556817617
-5.73,6.6,1.5180518856011478
-5.72,6.6,1.5192320155009518
-5.71,6.6,1.5204157245009107
-5.71,6.59,1.5170335927363552
-5.7,6.59,1.5182162352605293
-5.69,6.59,1.519398877807372
-5.68,6.59,1.520581520361599
-5.68,6.58,1.5171993885490414
-5.67,6.58,1.5183933669677057
-5.66,6.58,1.51957849186812
-5.65,6.58,1.5207636168970309
-5.65,6.57,1.5173852963796213
-5.64,6.57,1.5185720564264042
-5.63,6.57,1.5197646184251368
-5.62,6.57,1.520957180423869
-5.62,6.56,1.5175583072311305
-5.61,6.56,1.518753911418985
-5.6,6.56,1.5199495156068394
-5.59,6.56,1.521145119794796
-5.59,6.55,1.5177580561001085
-5.58,6.55,1.5189541868259029
-5.57,6.55,1.520150317552567
-5.57,6.54,1.5167663047216355
-5.56,6.54,1.5179626087353177
-5.55,6.54,1.5191589126915344
-5.54,6.54,1.5203521371048638
-5.54,6.53,1.5169682680581666
-5.53,6.53,1.5181690424590624
-5.52,6.53,1.519369816859958
-5.51,6.53,1.520566381325202
-5.51,6.52,1.5171836893360182
-5.5,6.52,1.5183880996713068
-5.49,6.52,1.5195912190408465
-5.48,6.52,1.5207942013746703
-5.48,6.51,1.5174121864826748
-5.47,6.51,1.518618294642232
-5.46,6.51,1.5198244028017887
-5.45,6.51,1.521030510961346
-5.45,6.5,1.51765486252171
-5.44,6.5,1.5188627100474301
-5.43,6.5,1.52007055774927
-5.42,6.5,1.5209228426644774
-5.42,6.49,1.5187513644904242
-5.41,6.49,1.51978524677251
-5.4,6.49,1.5208191259079786
-5.4,6.48,1.5174470603453605
-5.39,6.48,1.5184885458958466
-5.38,6.48,1.5195300289899925
-5.37,6.48,1.520571515132527
-5.37,6.47,1.5176924769601439
-5.36,6.47,1.51869626612189
-5.35,6.47,1.5197000598803445
-5.34,6.47,1.5208554142703539
-5.34,6.46,1.5181236135794287
-5.33,6.46,1.5187080564500754
-5.32,6.46,1.5199312103443146
-5.31,6.46,1.5211543642457972
-5.31,6.45,1.5177690365692027
-5.3,6.45,1.5189921904649306
-5.29,6.45,1.5202261634518532
-5.29,6.44,1.5168408040681376
-5.28,6.44,1.5180666471444004
-5.27,6.44,1.519292490206471
-5.26,6.44,1.5205281554427224
-5.26,6.43,1.5171403155089491
-5.25,6.43,1.518370969355094
-5.24,6.43,1.5196016230701068
-5.23,6.43,1.5208322767428732
-5.23,6.42,1.5174458389086651
-5.22,6.42,1.5186769161686082
-5.21,6.42,1.519907993299742
-5.2,6.42,1.5211361627204694
-5.2,6.41,1.517757077809959
-5.19,6.41,1.5189895661683943
-5.18,6.41,1.5202220545355265
-5.18,6.4,1.5168429696120826
-5.17,6.4,1.518075457996639
-5.16,6.4,1.5193090829947151
-5.15,6.4,1.5205429376266217
-5.15,6.39,1.5171652167419334
-5.14,6.39,1.518399071380435
-5.13,6.39,1.5196329260212402
-5.12,6.39,1.5208667806603011
-5.12,6.38,1.5174943838874686
-5.11,6.38,1.5187296082794863
-5.1,6.38,1.5199648320693842
-5.09,6.38,1.5212000561813515
-5.09,6.37,1.5178381676614592
-5.08,6.37,1.5190798186832044
-5.07,6.37,1.520321469717795
-5.07,6.36,1.5169413049684357
-5.06,6.36,1.518179773458809
-5.05,6.36,1.519423405
-5.04,6.36,1.5206670374021007
-5.04,6.35,1.5172901948396291
-5.03,6.35,1.5185338264976942
-5.02,6.35,1.5197774574181087
-5.01,6.35,1.5210270162779695
-5.01,6.34,1.517653747981231
-5.0,6.34,1.5189009659473536
-4.99,6.34,1.5201481839148396
-4.99,6.33,1.5167749174496823
-4.98,6.33,1.5180221345311535
-4.97,6.33,1.519252200289142
-4.96,6.33,1.5204961180275032
-4.96,6.32,1.5171272680123313
-4.95,6.32,1.5183711857398285
-4.94,6.32,1.519619761377829
-4.93,6.32,1.5208690450439863
-4.93,6.31,1.5174930149434753
-4.92,6.31,1.5187422994889077
-4.91,6.31,1.5199929584925553
-4.9,6.31,1.5212422231550442
-4.9,6.3,1.5178674296308938
-4.89,6.3,1.519116694481834
-4.88,6.3,1.5203659605781006
-4.88,6.29,1.5169911657383535
-4.87,6.29,1.5182404305886301
-4.86,6.29,1.519514503305059
-4.85,6.29,1.5207668973825998
-4.85,6.28,1.517395209868024
