U_In-5p,U_As-4p,Eg(eV)
-2.1,3.61,0.4166760066503733
-2.09,3.61,0.41790794965714473
-2.08,3.61,0.41913989264692253
-2.08,3.6,0.4159576953698143
-2.07,3.6,0.41718963849402946
-2.06,3.6,0.41789909956642635
-2.05,3.6,0.41903538557569564
-2.05,3.59,0.4157596630484979
-2.04,3.59,0.4168959489334636
-2.03,3.59,0.4180322349030825
-2.02,3.59,0.4191685208436793
-2.02,3.58,0.4154630120700553
-2.01,3.58,0.41650679320095463
-2.0,3.58,0.4175505737738715
-1.99,3.58,0.4185943546702633
-1.99,3.57,0.4152821625991707
-1.98,3.57,0.41603216928259434
-1.97,3.57,0.4167821761021314
-1.96,3.57,0.41753218314984797
-1.95,3.57,0.41828219014917156
-1.95,3.56,0.41571166198377774
-1.94,3.56,0.41622773568886196
-1.93,3.56,0.41674380939394196
-1.92,3.56,0.4172598830991453
-1.91,3.56,0.41777595680718216
-1.9,3.56,0.41829203051462527
-1.89,3.56,0.41840106556682555
-1.89,3.55,0.4157207158122548
-1.88,3.55,0.41617020747997135
-1.87,3.55,0.4166196981971906
-1.86,3.55,0.41706918975322316
-1.85,3.55,0.417518681312002
-1.84,3.55,0.4179681728707809
-1.83,3.55,0.4184247010434614
-1.83,3.54,0.41570288843553693
-1.82,3.54,0.4161204356230488
-1.81,3.54,0.41653798272641374
-1.8,3.54,0.4169555296585533
-1.79,3.54,0.41737307667848533
-1.79,3.53,0.41564408560000043
-1.78,3.53,0.4161641694236262
-1.77,3.53,0.41668425324725206
-1.76,3.53,0.41720433731384415
-1.75,3.53,0.4177244212785644
-1.74,3.53,0.4182445052432847
-1.74,3.52,0.4160736357845346
-1.73,3.52,0.41705484742774834
-1.72,3.52,0.41803605892881646
-1.71,3.52,0.4190172707777593
-1.71,3.51,0.4147169799387852
-1.7,3.51,0.41591078651023594
-1.69,3.51,0.41710459323504545
-1.68,3.51,0.4182984001366352
-1.68,3.5,0.41475639446885504
-1.67,3.5,0.4159502012492585
-1.66,3.5,0.4171130451145061
-1.65,3.5,0.4184064539362172
-1.65,3.49,0.4149640272439763
-1.64,3.49,0.41625743584846253
-1.63,3.49,0.4175508443446463
-1.62,3.49,0.41884425289278915
-1.62,3.48,0.4157027433156746
-1.61,3.48,0.4170376411888348
-1.6,3.48,0.41837253900267457
-1.6,3.47,0.4145610099064988
-1.59,3.47,0.41521632094165417
-1.58,3.47,0.41663764716618923
-1.57,3.47,0.4180589733907242
-1.56,3.47,0.4194802995922049
-1.56,3.46,0.41610121915913023
-1.55,3.46,0.4174268313959515
-1.54,3.46,0.4187524436203687
-1.54,3.45,0.4150318086498763
-1.53,3.45,0.41635742080579885
-1.52,3.45,0.4176830329617214
-1.51,3.45,0.4189123383095019
-1.51,3.44,0.4151788568949476
-1.5,3.44,0.4164910842093451
-1.49,3.44,0.4178033115237425
-1.48,3.44,0.4191155388383162
-1.48,3.43,0.41538205744214396
-1.47,3.43,0.41633153127801215
-1.46,3.43,0.41757605877988846
-1.45,3.43,0.41882058625175067
-1.45,3.42,0.4152405042561722
-1.44,3.42,0.416730857938017
-1.43,3.42,0.4177930219578121
-1.42,3.42,0.41885518597702576
-1.42,3.41,0.415513617696305
-1.41,3.41,0.41661953329703305
-1.4,3.41,0.41767129992920793
-1.39,3.41,0.4187230665664631
-1.39,3.4,0.41538824100147675
-1.38,3.4,0.4164400076383896
-1.37,3.4,0.41749177427607054
-1.36,3.4,0.41854633362520977
-1.36,3.39,0.4152143017482999
-1.35,3.39,0.41626888051728805
-1.34,3.39,0.41732345928693293
-1.33,3.39,0.41837803805718343
-1.33,3.38,0.4150460061818019
-1.32,3.38,0.41610836315053634
-1.31,3.38,0.41716486650725604
-1.3,3.38,0.4182213698622774
-1.3,3.37,0.4148939119937012
-1.29,3.37,0.4159548916733068
-1.28,3.37,0.417020225968887
-1.27,3.37,0.4180855602644673
-1.26,3.37,0.41915089455711385
-1.26,3.36,0.41580963284112915
-1.25,3.36,0.41687694323759095
-1.24,3.36,0.4179442536295994
-1.23,3.36,0.4190115640310019
-1.23,3.35,0.4156772801381232
-1.22,3.35,0.416744590533778
-1.21,3.35,0.4178190922532784
-1.2,3.35,0.418889921286447
-1.2,3.34,0.4155591086647643
-1.19,3.34,0.4166299377026579
-1.18,3.34,0.4177007667513256
-1.17,3.34,0.418771595794297
-1.17,3.33,0.4154538467424318
-1.16,3.33,0.41652771628855734
-1.15,3.33,0.41760158583384166
-1.14,3.33,0.41867545537961615
-1.14,3.32,0.41532792662720475
-1.13,3.32,0.4163998176420004
-1.12,3.32,0.41747170866360217
-1.11,3.32,0.41854359968407706
-1.11,3.31,0.4152070318688703
-1.1,3.31,0.4162801493181554
-1.09,3.31,0.41735326677411566
-1.08,3.31,0.418426384206933
-1.08,3.3,0.41509425285374013
-1.07,3.3,0.41616737029794404
-1.06,3.3,0.4172807080496307
-1.05,3.3,0.4183593524273732
-1.05,3.29,0.41503245686715795
-1.04,3.29,0.4161111012420332
-1.03,3.29,0.4171897456204473
-1.02,3.29,0.4182683899973424
-1.02,3.28,0.41498344207813154
-1.01,3.28,0.4160711827798894
-1.0,3.28,0.41715892348353945
-0.99,3.28,0.4182466641871895
-0.99,3.27,0.41494000865585545
-0.98,3.27,0.41604870053164456
-0.97,3.27,0.4171573924155654
-0.96,3.27,0.4182660842994861
-0.96,3.26,0.4148938413153197
-0.95,3.26,0.4160113320635367
-0.94,3.26,0.41712882281174957
-0.93,3.26,0.41824631354934017
-0.93,3.25,0.4149050258898639
-0.92,3.25,0.4160225166424576
-0.91,3.25,0.4170769050222468
-0.9,3.25,0.4181950235617916
-0.9,3.24,0.4148548789944484
-0.89,3.24,0.4159729975641292
-0.88,3.24,0.41709111611961014
-0.87,3.24,0.41820923468235716
-0.87,3.23,0.4148608616262407
-0.86,3.23,0.41597618024683136
-0.85,3.23,0.4170914988693859
-0.84,3.23,0.41820681749194055
-0.84,3.22,0.41486133288263227
-0.83,3.22,0.41596832924615446
-0.82,3.22,0.41707532559755434
-0.81,3.22,0.4181823219470774
-0.81,3.21,0.4148686701882909
-0.8,3.21,0.4159713185216236
-0.79,3.21,0.4170739668596739
-0.78,3.21,0.41817661519433746
-0.78,3.2,0.4148473247136165
-0.77,3.2,0.4159499730585945
-0.76,3.2,0.41708341853533915
-0.75,3.2,0.4181897590797128
-0.75,3.19,0.4148638981406454
-0.74,3.19,0.4159702386607903
-0.73,3.19,0.417076579151067
-0.72,3.19,0.41818291965685517
-0.72,3.18,0.41485083801341416
-0.71,3.18,0.4159574262432487
