U_Ga-4p,U_As-4p,Eg(eV)
-2.66,5.38,1.5172627671910077
-2.65,5.38,1.5192544278647506
-2.64,5.38,1.520163295171784
-2.64,5.37,1.5166051788494759
-2.63,5.37,1.518388589029814
-2.62,5.37,1.5203839168978155
-2.62,5.36,1.517003516041541
-2.61,5.36,1.5185133230433596
-2.6,5.36,1.5200231300772615
-2.6,5.35,1.5166427292313538
-2.59,5.35,1.5181870921053668
-2.58,5.35,1.5197092785028143
-2.57,5.35,1.5212314651264491
-2.57,5.34,1.5178509152130815
-2.56,5.34,1.5193731018010017
-2.55,5.34,1.5208952883274183
-2.55,5.33,1.517558499562703
-2.54,5.33,1.5190948083356133
-2.53,5.33,1.5206311169419116
-2.53,5.32,1.5172522490421843
-2.52,5.32,1.5187885577807139
-2.51,5.32,1.5203358580013795
-2.51,5.31,1.5169457449689072
-2.5,5.31,1.5184979024507934
-2.49,5.31,1.5200500599326796
-2.49,5.3,1.5166179123761787
-2.48,5.3,1.5181748796787753
-2.47,5.3,1.519731846960503
-2.46,5.3,1.521288814251253
-2.46,5.29,1.5178948414741873
-2.45,5.29,1.5194518087755324
-2.44,5.29,1.5210161230644421
-2.44,5.28,1.5175989915429962
-2.43,5.28,1.5191548211417925
-2.42,5.28,1.5207106507405888
-2.42,5.27,1.5173010806448626
-2.41,5.27,1.5188542696441887
-2.4,5.27,1.5204074586265452
-2.4,5.26,1.5169933194841478
-2.39,5.26,1.5185465084607523
-2.38,5.26,1.5201619963619557
-2.38,5.25,1.516784167395731
-2.37,5.25,1.5183303165071076
-2.36,5.25,1.5198764655941774
-2.35,5.25,1.521422614737434
-2.35,5.24,1.5180447856817398
-2.34,5.24,1.5195988317971973
-2.33,5.24,1.52115540729584
-2.33,5.23,1.5177775809978777
-2.32,5.23,1.5193341565116723
-2.31,5.23,1.5208907320259235
-2.31,5.22,1.5175129056356618
-2.3,5.22,1.5190907208837447
-2.29,5.22,1.5206503806523244
-2.29,5.21,1.5172836957788005
-2.28,5.21,1.518848653496471
-2.27,5.21,1.5204136112220552
-2.27,5.2,1.5170609558015946
-2.26,5.2,1.5186259134807243
-2.25,5.2,1.5201908711944412
-2.25,5.19,1.5168382157451332
-2.24,5.19,1.5184037080012176
-2.23,5.19,1.5199716289803007
-2.23,5.18,1.5166189854495722
-2.22,5.18,1.5181869064056532
-2.21,5.18,1.5197548273554333
-2.2,5.18,1.5213538538203197
-2.2,5.17,1.5179956381469772
-2.19,5.17,1.5195723703345456
-2.18,5.17,1.5211491025856234
-2.18,5.16,1.5177849112263693
-2.17,5.16,1.5193685952424483
-2.16,5.16,1.520952279277823
-2.16,5.15,1.5175971869492526
-2.15,5.15,1.5191808709896004
-2.14,5.15,1.5207645550074533
-2.14,5.14,1.5174064420458058
-2.13,5.14,1.5189921171039857
-2.12,5.14,1.5205777921620058
-2.12,5.13,1.5172227305284154
-2.11,5.13,1.5188084055869828
-2.1,5.13,1.5203047897320539
-2.1,5.12,1.516971721095514
-2.09,5.12,1.518533192517012
-2.08,5.12,1.5201160104111953
-2.08,5.11,1.5167926679650359
-2.07,5.11,1.5183426587933082
-2.06,5.11,1.5198926495846996
-2.06,5.1,1.5165693070670079
-2.05,5.1,1.5181192979402056
-2.04,5.1,1.519698473984865
-2.03,5.1,1.5212424951416035
-2.03,5.09,1.5179189236107045
-2.02,5.09,1.5194629448343868
-2.01,5.09,1.5210069661735277
-2.01,5.08,1.5176833944127068
-2.0,5.08,1.5192769959144816
-1.99,5.08,1.5208374770037816
-1.99,5.07,1.517518279411406
-1.98,5.07,1.5190787605006943
-1.97,5.07,1.5206283027559828
-1.97,5.06,1.5172910358696645
-1.96,5.06,1.5188580711273922
-1.95,5.06,1.5204251064465453
-1.95,5.05,1.5170878396313627
-1.94,5.05,1.5186809408251147
-1.93,5.05,1.5202768450256419
-1.93,5.04,1.5169395569495232
-1.92,5.04,1.518535461117909
-1.91,5.04,1.5201313652601023
-1.91,5.03,1.5167940772385369
-1.9,5.03,1.5183899814640718
-1.89,5.03,1.5199864578066922
-1.89,5.02,1.5166366201916082
-1.88,5.02,1.5182074306955633
-1.87,5.02,1.5198146252825606
-1.86,5.02,1.5214218196903038
-1.86,5.01,1.5180621754638355
-1.85,5.01,1.519669370087299
-1.84,5.01,1.5212765646328912
-1.84,5.0,1.5179166217580036
-1.83,5.0,1.5195229454948462
-1.82,5.0,1.5211292688483184
-1.82,4.99,1.517769621617752
-1.81,4.99,1.5193759452455478
-1.8,4.99,1.5209822688671641
-1.8,4.98,1.517624772626177
-1.79,4.98,1.5192314896321972
-1.78,4.98,1.5208382066131334
-1.78,4.97,1.5175030848521178
-1.77,4.97,1.5190977657908893
-1.76,4.97,1.5206924464793823
-1.76,4.96,1.5173502077068848
-1.75,4.96,1.5189448885736279
-1.74,4.96,1.5205395692241774
-1.74,4.95,1.5171875212394506
-1.73,4.95,1.5187955772707435
-1.72,4.95,1.520403633295603
-1.72,4.94,1.5170615412655546
-1.71,4.94,1.5186695973016897
-1.7,4.94,1.520277653345481
-1.7,4.93,1.516951110062092
-1.69,4.93,1.518563827976985
-1.68,4.93,1.5201765458464411
-1.68,4.92,1.5168330807168746
-1.67,4.92,1.5184457986180782
-1.66,4.92,1.520075562340362
-1.66,4.91,1.516724347922495
-1.65,4.91,1.518345630613342
-1.64,4.91,1.519966913327424
-1.64,4.9,1.5166652687917554
-1.63,4.9,1.5182877218288156
-1.62,4.9,1.5199101748665313
-1.62,4.89,1.5165960368655576
-1.61,4.89,1.5182184899080655
-1.6,4.89,1.5198409429636455
-1.59,4.89,1.521400025297801
-1.59,4.88,1.5180950346883926
-1.58,4.88,1.5197113239679236
-1.57,4.88,1.5213276132474547
-1.57,4.87,1.5180289922147054
-1.56,4.87,1.519640056311331
-1.55,4.87,1.5212511202546872
-1.55,4.86,1.5179510467317083
-1.54,4.86,1.5195621106750645
-1.53,4.86,1.5211954787632669
-1.53,4.85,1.5179015866061172
-1.52,4.85,1.5195036374526891
-1.51,4.85,1.5211056881702454
-1.51,4.84,1.5178117957412423
-1.5,4.84,1.5194138471938208
-1.49,4.84,1.5210859909315873
-1.49,4.83,1.517791659202814
-1.48,4.83,1.5194089645620956
-1.47,4.83,1.5210262700522057
-1.47,4.82,1.5177319383590773
-1.46,4.82,1.5193492445557946
-1.45,4.82,1.520911919016712
-1.45,4.81,1.5176552066339828
-1.44,4.81,1.519250234863582
-1.43,4.81,1.520695377427173
-1.43,4.8,1.517352607668276
-1.42,4.8,1.51896587870645
-1.41,4.8,1.5205791501252182
-1.41,4.79,1.5172363810914806
-1.4,4.79,1.5188496518340906
-1.39,4.79,1.5206184640830205
-1.39,4.78,1.5172746686986558
-1.38,4.78,1.5189167742702092
-1.37,4.78,1.5205588798417624
