U_In-5p,U_Sb-5p,a(A),Eg(eV),meff
-3.8,4.2,6.595182130709177,0.24216050594623992,0.014228296519640063
-3.8,4.15,6.597212140905528,0.22584695227656543,0.013309612885540095
-3.75,4.15,6.595525281966725,0.23125620048818715,0.013616854115979975
-3.7,4.15,6.593624808081057,0.2372364032918983,0.01395578972234862
-3.65,4.15,6.591935218361343,0.24267008867427947,0.01426360572714179
-3.65,4.1,6.594165539227033,0.22584559080980843,0.01331624082484023
-3.6,4.1,6.592259750960697,0.2318524865612761,0.0136571780194271
-3.55,4.1,6.590547878590106,0.2373559738909421,0.01396957278814433
-3.5,4.1,6.588829050138507,0.24289165499832713,0.014276871409458092
-3.5,4.05,6.590856863826771,0.22661923952875915,0.0133601614610657
-3.45,4.05,6.589132370909386,0.23216786346982143,0.01367577724438291
-3.4,4.05,6.58739556744303,0.2377566867939704,0.013993336559316075
-3.35,4.05,6.5856587495669805,0.24335482135650438,0.014311065853700488
-3.35,4.0,6.587681434213619,0.2271131584317438,0.013395821809604013
-3.3,4.0,6.5859426914401,0.23272003594598079,0.013715028139387223
-3.25,4.0,6.5841953821514405,0.23835738230106746,0.014035695344933813
-3.2,4.0,6.582436599535677,0.24403423722373785,0.014357957971993112
-3.2,3.95,6.5844543527833705,0.22782402584860037,0.013444326944776028
-3.15,3.95,6.582711762296426,0.23346231208652984,0.013765435581764551
-3.1,3.95,6.580902560791141,0.23928480601842175,0.014096560373146463
-3.05,3.95,6.579110064657771,0.24507145556255788,0.01442537800352069
-3.05,3.9,6.5811696863591775,0.22876872238081888,0.013506455171233235
-3.0,3.9,6.5793327696920665,0.23467707363341356,0.013843154887698675
-2.95,3.9,6.577524772064866,0.24051826542864127,0.014175585414186691
-2.95,3.85,6.579595919653911,0.22420680396994455,0.013254768231416834
-2.9,3.85,6.5777446202772785,0.2301669444756207,0.013594862864747863
-2.85,3.85,6.575920710131864,0.2360628919149456,0.013931093163119645
-2.8,3.85,6.574077713675053,0.24201889946560975,0.01427024340543079
-2.8,3.8,6.576119168242007,0.22580325621509642,0.013354827081534265
-2.75,3.8,6.574265881788969,0.2317918629495193,0.013696707297925935
-2.7,3.8,6.572436989039193,0.23772360919652843,0.014035105526454561
-2.65,3.8,6.570573800139934,0.2437560573877473,0.01437873741379009
-2.65,3.75,6.572620778513932,0.2275422741995239,0.013463585308114747
-2.6,3.75,6.570746769144758,0.2336080464043033,0.013810077444128474
-2.55,3.75,6.568871562522342,0.23968602594125063,0.0141569331670362
-2.5,3.75,6.566972932550347,0.24583666486532565,0.014507277926760072
-2.5,3.7,6.569028368385029,0.22961665019027558,0.013592053611922434
-2.45,3.7,6.567117595654161,0.2358019745932656,0.013945682558470809
-2.4,3.7,6.565208564729389,0.24199402881393384,0.014299122636859677
-2.4,3.65,6.56726138319357,0.22580601559376906,0.013383875561436267
-2.35,3.65,6.5653381352752795,0.23204016284006102,0.013740873012050995
-2.3,3.65,6.563411861054033,0.2382911068240229,0.014098350305415334
-2.25,3.65,6.561597164064495,0.24425457783582075,0.01443918125542656
-2.25,3.6,6.563662125013318,0.2280522227160331,0.013523198620291414
-2.2,3.6,6.561699927217994,0.23441417237145024,0.013887483210772572
-2.15,3.6,6.559744066733997,0.2407693536651655,0.01425099148104448
-2.15,3.55,6.561800524125232,0.2246106863822827,0.01333618501710112
-2.1,3.55,6.559830674256297,0.2310073566020674,0.013703190146044852
-2.05,3.55,6.557841730119704,0.23746536764676715,0.014073161244182255
-2.0,3.55,6.555858356323564,0.24391910427987668,0.014442360942313659
-2.0,3.5,6.557917814653592,0.22776831199420683,0.013528405363674013
-1.95,3.5,6.555922671148064,0.23425970905359894,0.013900722721148707
-1.9,3.5,6.553925356436003,0.2407654019660964,0.014273610747600054
-1.9,3.45,6.5559853442139,0.22463752460716524,0.01335939713082547
-1.85,3.45,6.55397508046537,0.23118147456994834,0.01373569300621099
-1.8,3.45,6.551943318731369,0.23779706699368616,0.01411522248843
-1.75,3.45,6.549904365939006,0.24444014514681847,0.01449598655471319
-1.75,3.4,6.551979205500703,0.2282885609897915,0.013580904643575942
-1.7,3.4,6.5499284506118265,0.23496936253270007,0.013964833105200032
-1.65,3.4,6.547775191615475,0.24193245356504212,0.01436453403350152
-1.65,3.35,6.549953848395726,0.22552622955604884,0.013433662685210106
-1.6,3.35,6.547792223343725,0.2325191373870546,0.01383603800291959
-1.55,3.35,6.545737410859532,0.23923856287263118,0.014222258951795174
-1.5,3.35,6.543704531348244,0.24590675678014906,0.014605416250636272
-1.5,3.3,6.545728563132061,0.22993046335115358,0.013699439070249498
-1.45,3.3,6.543688767082397,0.23662520366001286,0.014084949740059222
-1.4,3.3,6.539917552594624,0.24797384887361032,0.01473357494996229
-1.4,3.25,6.543669164965783,0.22738363222997723,0.01356538039853582
-1.35,3.25,6.539900430589479,0.23873238800176239,0.014215790950576056
-1.3,3.25,6.5371546251624055,0.24735409481911835,0.01471019200407213
-1.3,3.2,6.541555954224234,0.22503842460756468,0.013442748588766141
-1.25,3.2,6.53714511256778,0.23813000858155503,0.014193206530003818
-1.2,3.2,6.5361190943295195,0.2410066044886968,0.01459241554303114
-1.2,3.15,6.53711780080185,0.22898686959328163,0.01367906534188913
-1.15,3.15,6.536101817326375,0.2318563808291879,0.014077950439223264
-1.1,3.15,6.535373,0.23509731585891402,0.014129571025212286
-1.05,3.15,6.535373,0.2363828333663694,0.01420889484630684
-1.05,3.1,6.535373,0.22594213169828561,0.013612435400473875
-1.0,3.1,6.535373,0.22723688229272612,0.013692333248527868
-0.95,3.1,6.531746772682301,0.23938356085656498,0.014302113982542691
-0.9,3.1,6.528084205311153,0.2505447579513021,0.01494280929172026
-0.9,3.05,6.5305275166106185,0.2335412186434346,0.013975994990856996
-0.85,3.05,6.528361880552268,0.2406806964305226,0.014389315693476096
-0.85,3.0,6.530398971165669,0.22479588262815609,0.013483285371162133
-0.8,3.0,6.528229475108216,0.23195072860889188,0.013898821561779129
-0.75,3.0,6.5259909316403055,0.23930456720516363,0.014325051138636089
-0.7,3.0,6.523751423884441,0.2466708118801076,0.014751679643027444
-0.7,2.95,6.525839800568855,0.23066900210760685,0.013839260059815527
-0.65,2.95,6.523589912209635,0.23807026566287598,0.014269055516975007
-0.6,2.95,6.521333761898065,0.2455005498605561,0.014699928939870462
-0.6,2.9,6.523421281420083,0.22952207073664607,0.013787887179924851
-0.55,2.9,6.521149884810495,0.23700202490357253,0.014222712109680154
-0.5,2.9,6.518917069464921,0.24438615587319676,0.014651842150041403
-0.5,2.85,6.520995979677378,0.22845616374021346,0.013741201262393622
-0.45,2.85,6.518720324096807,0.23596426668565204,0.014178529376294682
-0.4,2.85,6.516431575344158,0.24352196148796182,0.014617935852206514
-0.4,2.8,6.51851634422707,0.22759623521901573,0.013706674229449784
-0.35,2.8,6.516221934612049,0.23517502124646217,0.014148671039576564
-0.3,2.8,6.513926599490184,0.2427658965294921,0.014591059372484828
-0.3,2.75,6.516012569313768,0.22686011043024842,0.01367985574673954
-0.25,2.75,6.51370372779791,0.2344982691901029,0.014125850931297548
-0.2,2.75,6.51139012242184,0.242162167681784,0.01457270844496684
-0.2,2.7,6.513477109193632,0.2262745695713488,0.013661651971572781
-0.15,2.7,6.511153755229344,0.2339705632342261,0.014111765429468912
-0.1,2.7,6.508822172615044,0.24170099580585233,0.014563250042917118
-0.1,2.65,6.510904027098169,0.22585201238849684,0.013653219944796213
