GaAs,GaSb,InSb,InAs,Eg_GaAs,Eg_GaAs3Sb1,Eg_GaAs2Sb2,Eg_GaAs1Sb3,Eg_GaSb,Eg_In1Ga3Sb,Eg_In2Ga2Sb,Eg_In3Ga1Sb,Eg_InSb,Eg_InAs1Sb3,Eg_InAs2Sb2,Eg_InAs3Sb1,Eg_InAs,Eg_In3Ga1As,Eg_In2Ga2As,Eg_In1Ga3As,meff_GaAs,meff_GaSb,meff_InSb,meff_InAs,loss
653,0,932,1362,1.518851572612944,1.1700530339863866,0.922707524346043,0.8634236369500944,0.8134110754414716,0.48160311566668906,0.3094803088044618,0.2526303733741608,0.23266650191949412,0.09797076104082553,0.006324109423784481,9.025846179566699e-10,0.41476308426944525,0.5933407591329561,0.765403155767128,1.078378702599739,0.1406861269011718,0.12989048762491634,0.09654811978263372,0.12177640336686471,1.5058132200280452
2191,569,0,0,1.5190364994465948,0.5714800826514743,0.6235019484090057,0.7453409658015764,0.810645868323654,0.3708034005652359,0.2736809545025672,0.2639501768976915,0.23527218694419716,0.2098861024791403,0.19614324856511717,0.2898626045027569,0.4176501571014782,0.45766384146193934,0.5046126606787301,0.8432570049137652,0.18852930260343473,0.13338892916065365,0.08791194912302318,0.09410003409211609,1.0278534197808427
653,1712,0,1362,1.518851572612944,0.6159955141790359,0.10186355244122301,0.27167732581472886,0.8109343320269742,0.0748534349066509,0.0032267839242691274,0.11191434737843851,0.23527218694419716,0.17460027854014512,0.10459917277715215,0.08995365464769474,0.41476308426944525,0.5933407591329561,0.765403155767128,1.078378702599739,0.1406861269011718,0.1597435521706158,0.08791194912302318,0.12177640336686471,2.0060816485519206
1286,0,0,1362,1.5172578244035686,1.0860249051517474,0.9344036932168538,0.8794787087087802,0.8134110754414716,0.4560193571998372,0.3254853643688973,0.28555002969315674,0.23527218694419716,0.17460027854014512,0.10459917277715215,0.08995365464769474,0.41476308426944525,0.6343924120941506,0.7779081645243915,1.0853310276471442,0.14983217258592885,0.12989048762491634,0.08791194912302318,0.12177640336686471,0.851581308487797
653,400,0,0,1.518851572612944,1.0957974900049567,0.7966489200683814,0.7791205204278646,0.811079022552802,0.40097625992689795,0.2931111142080198,0.2734366954604188,0.23527218694419716,0.2098861024791403,0.19614324856511717,0.2898626045027569,0.4176501571014782,0.6017376749620839,0.776304301636061,1.0678351366177012,0.1406861269011718,0.131950543685927,0.08791194912302318,0.09410003409211609,0.6609810280719166
2191,1712,1500,1362,1.5190364994465948,0.09533861983869012,0.003330145565632925,0.19352616137580392,0.8109343320269742,0.41658201070546336,0.26397808688694896,0.3328477650155601,0.23363727003563858,1.2332243632395823e-09,0.004962618248249166,8.235231563569202e-10,0.41476308426944525,0.6556980238686735,0.7126622371571687,1.0582628369463367,0.18852930260343473,0.1597435521706158,0.11034391921068991,0.12177640336686471,2.360236851253391
2191,0,378,1362,1.5190364994465948,0.6960141006891845,0.7366148623969225,0.7998584428783599,0.8134110754414716,0.47508729516365855,0.3312835441051561,0.2838406019261313,0.233718679516078,0.17640392679701883,0.10596110277584386,0.07160042940851827,0.41476308426944525,0.6556980238686735,0.7126622371571687,1.0582628369463367,0.18852930260343473,0.12989048762491634,0.09019529450468666,0.12177640336686471,0.949423987140069
653,712,0,631,1.518851572612944,1.0123179796248867,0.664836009868074,0.6863984727748671,0.8115727317602835,0.34121186696486266,0.25281834267280723,0.25345936197622243,0.23527218694419716,0.22640146599573588,0.21478797055809015,0.2606200731880082,0.41881706251888784,0.6171197270585528,0.796235015013272,1.0915773922939755,0.1406861269011718,0.1350239860867758,0.08791194912302318,0.10134919783496518,0.8651814262569851
653,0,0,602,1.518851572612944,1.1700530339863866,0.922707524346043,0.8634236369500944,0.8134110754414716,0.4560193571998372,0.3254853643688973,0.28555002969315674,0.23527218694419716,0.22627567479733257,0.2149633221069455,0.26240466616240515,0.4162049793561503,0.6129991014371026,0.7949615713327093,1.0903998084678501,0.1406861269011718,0.12989048762491634,0.08791194912302318,0.1007751853869708,0.7234926814786621
2191,586,424,774,1.5190364994465948,0.5663335794464591,0.6168284167846361,0.7405534174469998,0.8153313327591929,0.41425988226537236,0.2988620603574401,0.28273807543624085,0.23441338616500693,0.19404912344788994,0.1602623210245375,0.21583425687458238,0.41827845051243184,0.5707348210119031,0.6403080393386147,0.9783092682308483,0.18852930260343473,0.13389704774303365,0.09059734933781041,0.10395545492442389,0.7881293976611333
