U_Ga-4p,U_Sb-5p,Eg(eV)
-1.46,4.65,0.8142654291559108
-1.46,4.64,0.8112540521026712
-1.45,4.64,0.8131156077045345
-1.45,4.63,0.8101042307167287
-1.44,4.63,0.8119657863055783
-1.43,4.63,0.8137650754071994
-1.43,4.62,0.8107220687641536
-1.42,4.62,0.8125858325704333
-1.41,4.62,0.8144495964467093
-1.41,4.61,0.8114065897250493
-1.4,4.61,0.8135328776590733
-1.4,4.6,0.8105072205039101
-1.39,4.6,0.8124372530166246
-1.38,4.6,0.8143672855472002
-1.38,4.59,0.8111512843926172
-1.37,4.59,0.8131516696228838
-1.37,4.58,0.8100109886581623
-1.36,4.58,0.812011374067074
-1.35,4.58,0.8140117594982685
-1.35,4.57,0.8108710781339825
-1.34,4.57,0.8134463108589394
-1.34,4.56,0.8102931966844427
-1.33,4.56,0.8123921261032657
-1.32,4.56,0.8144910554837681
-1.32,4.55,0.8111202924343388
-1.31,4.55,0.8134317166758429
-1.31,4.54,0.8101223772522868
-1.3,4.54,0.812433801493027
-1.29,4.54,0.8147452258765947
-1.29,4.53,0.8114358862537155
-1.28,4.53,0.814091992102064
-1.28,4.52,0.8110314418341271
-1.27,4.52,0.8133676256283557
-1.27,4.51,0.810307075416834
-1.26,4.51,0.812643259217401
-1.25,4.51,0.8139639657099942
-1.25,4.5,0.8110930039742322
-1.24,4.5,0.8132005828042536
-1.24,4.49,0.8103296213886677
-1.23,4.49,0.8124371999450574
-1.23,4.48,0.8095662375607993
-1.22,4.48,0.8109125891738339
-1.21,4.48,0.8125198061366719
-1.21,4.47,0.8100477153652283
-1.2,4.47,0.8116549288397845
-1.19,4.47,0.8131509567476294
-1.19,4.46,0.810678244428554
-1.18,4.46,0.812285968801416
-1.17,4.46,0.813893692396761
-1.17,4.45,0.8124321030157496
-1.16,4.45,0.81338871782153
-1.16,4.44,0.8113381412562105
-1.15,4.44,0.8122947573064673
-1.14,4.44,0.8132513733567237
-1.14,4.43,0.8112008033664262
-1.13,4.43,0.8126420792876077
-1.13,4.42,0.8106141595563546
-1.12,4.42,0.8113864539378932
-1.11,4.42,0.81215874262907
-1.1,4.42,0.8129310332061885
-1.09,4.42,0.813312833635218
-1.09,4.41,0.8113053956930246
-1.08,4.41,0.8120155862280659
-1.07,4.41,0.812725776763108
-1.07,4.4,0.8118530932473741
-1.06,4.4,0.8131652027708911
-1.06,4.39,0.8106977479034463
-1.05,4.39,0.8120098573552564
-1.04,4.39,0.8133219661309667
-1.04,4.38,0.8108545125738915
-1.03,4.38,0.8117360094000466
-1.02,4.38,0.8131178313825822
-1.02,4.37,0.8105405042750113
-1.01,4.37,0.811922322236851
-1.0,4.37,0.8133041413566646
-1.0,4.36,0.8115106600188124
-0.99,4.36,0.8130644313110078
-0.99,4.35,0.8102991278029437
-0.98,4.35,0.8118528991014415
-0.97,4.35,0.8129939509356351
-0.97,4.34,0.8105569245149876
-0.96,4.34,0.812195965685149
-0.95,4.34,0.8138349940269638
-0.95,4.33,0.8113979671410365
-0.94,4.33,0.8130370004159981
-0.94,4.32,0.8113622018679655
-0.93,4.32,0.8131530599424663
-0.93,4.31,0.8107500774207202
-0.92,4.31,0.8125409118721357
-0.92,4.3,0.8096836541585757
-0.91,4.3,0.8120594799830894
-0.9,4.3,0.8144353058542073
-0.9,4.29,0.8116011902847178
-0.89,4.29,0.8139770164520636
-0.89,4.28,0.8111429009302854
-0.88,4.28,0.8134227932921146
