U_Ga-4p,U_As-4p,a(A),Eg(eV),meff
-2.1,5.15,5.655983668331043,1.5271162340060307,0.07258038635427419
-2.1,5.1,5.65731886355102,1.510350049328281,0.07193630277712318
-2.05,5.1,5.655644929002037,1.5182552802667313,0.072269004923022
-2.0,5.1,5.654076930307578,1.5257365853350868,0.07208210434455795
-2.0,5.05,5.655344375518639,1.509260888987431,0.07195226505232084
-1.95,5.05,5.653706973192874,1.5170301427131412,0.0725984284017473
-1.9,5.05,5.652004908008251,1.5250716567991256,0.07261934471447787
-1.9,5.0,5.653375820088613,1.5081885338206038,0.07197067857045664
-1.85,5.0,5.651610226897329,1.5164950772221923,0.0723207780093382
-1.8,5.0,5.649980099404828,1.5242572288950704,0.07264954947850355
-1.8,4.95,5.651313421231572,1.507541936631924,0.07200743290699613
-1.75,4.95,5.649618994838252,1.5155723042860896,0.07234769227343267
-1.7,4.95,5.647924746342142,1.5236098637945905,0.07268805178800794
-1.7,4.9,5.649259284845258,1.5069040496991444,0.07204634941074846
-1.65,4.9,5.647561655305674,1.5149615313492666,0.07238854337848474
-1.6,4.9,5.645849481505804,1.5230866490650152,0.07273323165813468
-1.55,4.9,5.6441329065230335,1.5312378880683886,0.07307886267660106
-1.55,4.85,5.645406404005772,1.5147939526731133,0.07244860877085872
-1.5,4.85,5.643780713257939,1.522579678212116,0.07278106658783938
-1.45,4.85,5.642063697284013,1.5307470926930224,0.07312821904994765
-1.45,4.8,5.643353801830233,1.5142500976110316,0.07249596562190355
-1.4,4.8,5.641576319472485,1.5226711558575665,0.07285410494763978
-1.35,4.8,5.640018791586484,1.5301996296061706,0.07317732355528203
-1.35,4.75,5.641413951730637,1.5132873045005304,0.07252886600893747
-1.3,4.75,5.639454610217862,1.522467940466156,0.07291766571979011
-1.25,4.75,5.6379140046934895,1.5299409638704613,0.07323968790413096
-1.25,4.7,5.6393035958236375,1.5130659991893038,0.0725927113888609
-1.2,4.7,5.637448576852872,1.521833968452694,0.07296642825480255
-1.15,4.7,5.635734812914749,1.5300312229344837,0.0733176469424635
-1.15,4.65,5.637034492159856,1.5135396089247422,0.07268580702021124
-1.1,4.65,5.6353626061226745,1.5215713739732615,0.0730317014098534
-1.05,4.65,5.633639726362048,1.5298205217875787,0.07338607568271546
-1.05,4.6,5.634821939012895,1.5138258801719473,0.07277370398574769
-1.0,4.6,5.633072456561453,1.5221910458811994,0.07313372166899437
-0.95,4.6,5.631509758166031,1.5297970454962821,0.07346391894742405
-0.95,4.55,5.632629536207496,1.5140742097839053,0.0728622971242493
-0.9,4.55,5.630868149074536,1.5225032455844865,0.07322587226683391
-0.85,4.55,5.629291787650637,1.530184152417499,0.07421622960158065
-0.85,4.5,5.6304198134612635,1.5144386022963239,0.07295765747970617
-0.8,4.5,5.628843025997834,1.5221276214570996,0.07329320693279105
-0.75,4.5,5.627019737668349,1.5308346148609637,0.07366862412132211
-0.75,4.45,5.628192112375072,1.514926184949003,0.07306004561575115
-0.7,4.45,5.626362094562599,1.523668404716189,0.07343801601090405
-0.7,4.4,5.627692940200419,1.507124433617744,0.07280335063163182
